id,title,description,availability,condition,price,link,image_link,brand
2,"Key Ring for Bikers - Car - Bike - Home - Office Key Ring - Nice key Ring - key Ring","<ul class="""" style=""margin: 0px; padding: 0px; list-style: none; overflow: hidden; columns: auto 2; column-gap: 32px; font-family: Roboto, -apple-system, BlinkMacSystemFont, 'Helvetica Neue', Helvetica, sans-serif; font-size: 12px;"">
<li class="""" style=""margin: 0px; padding: 0px 0px 0px 15px; position: relative; box-sizing: border-box; font-size: 14px; line-height: 18px; text-align: left; list-style: none; word-break: break-word; break-inside: avoid;"">Colour:Black</li>
<li class="""" style=""margin: 0px; padding: 0px 0px 0px 15px; position: relative; box-sizing: border-box; font-size: 14px; line-height: 18px; text-align: left; list-style: none; word-break: break-word; break-inside: avoid;"">Shape:Square</li>
<li class="""" style=""margin: 0px; padding: 0px 0px 0px 15px; position: relative; box-sizing: border-box; font-size: 14px; line-height: 18px; text-align: left; list-style: none; word-break: break-word; break-inside: avoid;"">Material: Acrylonitrile Butadiene Styrene</li>
<li class="""" style=""margin: 0px; padding: 0px 0px 0px 15px; position: relative; box-sizing: border-box; font-size: 14px; line-height: 18px; text-align: left; list-style: none; word-break: break-word; break-inside: avoid;"">made in china</li>
<li class="""" style=""margin: 0px; padding: 0px 0px 0px 15px; position: relative; box-sizing: border-box; font-size: 14px; line-height: 18px; text-align: left; list-style: none; word-break: break-word; break-inside: avoid;"">Anti-lost keychain</li>
<li class="""" style=""margin: 0px; padding: 0px 0px 0px 15px; position: relative; box-sizing: border-box; font-size: 14px; line-height: 18px; text-align: left; list-style: none; word-break: break-word; break-inside: avoid;"" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4476rjp6rjp6u0"">এটি আপনি চাবির রিং এর সাথে লাগিয়ে রাখতে পারবেন ফলে চাবিটি হারিয়ে গেলেও ফিরে পেতে পারেন , চাবি হারানোর যে কত জামেলা যে হারিয়েছে সে বুজে সো চাবি হারাতে না চাইলে এই পণ্যটি কিনে চাবি হারানোর জামেলা থেকে রক্কা পান।</li>
</ul>","in stock",new,"250.00 BDT",http://127.0.0.1:8003/product/key-ring-for-bikers-car-bike-home-office-key-ring-nice-key-ring-key-ring,http://127.0.0.1:8000/media/6303626e60d4a.jpg,unknown
28,"Fresh Full Cream Milk Powder - 500gm","<p><span style=""font-family: Roboto, -apple-system, BlinkMacSystemFont, 'Helvetica Neue', Helvetica, sans-serif; font-size: 12px;"">Milk powder provides the essential energy and nutrition for kids&rsquo; and adults&rsquo; intelligence, growth, and strong health. Its choline helps in brain development, its protein, calcium, potassium, and phosphorus aid in better growth, and finally, vitamins A, B, D, and Zinc help to build a better immune system.</span></p>
<p><span style=""color: #1b1b28; font-family: Lato, sans-serif; font-size: 13px;"">The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe, and easy online shopping experience through kholabazaar.</span></p>
<div class=""bg-white mb-3 shadow-sm rounded"" style=""box-sizing: border-box; color: #1b1b28; font-family: Lato, sans-serif; font-size: 13px; border-radius: 0.25rem !important; box-shadow: rgba(0, 0, 0, 0.05) 0px 1px 2px 0px !important; margin-bottom: 1rem !important;"">&nbsp;</div>
<div class=""bg-white rounded shadow-sm"" style=""box-sizing: border-box; color: #1b1b28; font-family: Lato, sans-serif; font-size: 13px; border-radius: 0.25rem !important; box-shadow: rgba(0, 0, 0, 0.05) 0px 1px 2px 0px !important;"">&nbsp;</div>","in stock",new,"425.00 BDT",http://127.0.0.1:8003/product/fresh-full-cream-milk-powder-500gm,http://127.0.0.1:8000/media/63158f603f3c5.png,unknown
29,"Fresh Full Cream Milk Powder - 1 Kg","<p style=""box-sizing: border-box; margin: 0px; padding: 0px 0px 15px; outline: 0px; font-family: Roboto; font-size: 15px; color: #212529;""><span style=""box-sizing: border-box; margin: 0px; padding: 0px; outline: 0px; font-family: Roboto, -apple-system, BlinkMacSystemFont, 'Helvetica Neue', Helvetica, sans-serif; font-size: 12px;"">Milk powder provides the essential energy and nutrition for kids&rsquo; and adults&rsquo; intelligence, growth, and strong health. Its choline helps in brain development, its protein, calcium, potassium, and phosphorus aid in better growth, and finally, vitamins A, B, D, and Zinc help to build a better immune system.</span></p>
<p style=""box-sizing: border-box; margin: 0px; padding: 0px 0px 15px; outline: 0px; font-family: Roboto; font-size: 15px; color: #212529;""><span style=""box-sizing: border-box; margin: 0px; padding: 0px; outline: 0px; font-family: Lato, sans-serif; color: #1b1b28; font-size: 13px;"">The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe, and easy online shopping experience through kholabazaar.</span></p>","in stock",new,"840.00 BDT",http://127.0.0.1:8003/product/fresh-full-cream-milk-powder-1-kg,http://127.0.0.1:8000/media/631580ab8ae6b.png,unknown
30,"Fresh Full Cream Milk Powder - 400 Gm","<p style=""box-sizing: border-box; margin: 0px; padding: 0px 0px 15px; outline: 0px; font-family: Roboto; font-size: 15px; color: #212529;""><span style=""box-sizing: border-box; margin: 0px; padding: 0px; outline: 0px; font-family: Roboto, -apple-system, BlinkMacSystemFont, 'Helvetica Neue', Helvetica, sans-serif; font-size: 12px;"">Milk powder provides the essential energy and nutrition for kids&rsquo; and adults&rsquo; intelligence, growth, and strong health. Its choline helps in brain development, its protein, calcium, potassium, and phosphorus aid in better growth, and finally, vitamins A, B, D, and Zinc help to build a better immune system.</span></p>
<p style=""box-sizing: border-box; margin: 0px; padding: 0px 0px 15px; outline: 0px; font-family: Roboto; font-size: 15px; color: #212529;""><span style=""box-sizing: border-box; margin: 0px; padding: 0px; outline: 0px; font-family: Lato, sans-serif; color: #1b1b28; font-size: 13px;"">The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe, and easy online shopping experience through kholabazaar.</span></p>","in stock",new,"350.00 BDT",http://127.0.0.1:8003/product/fresh-full-cream-milk-powder-400-gm,http://127.0.0.1:8000/media/63158f1b92d26.png,unknown
31,"Fresh Chocolate Milk Powder - 400 gm","<p><span style=""color: #777777; font-family: Inter, Arial, Helvetica, sans-serif;"">MGI sources its milk powder from the world&rsquo;s best farms in Australia, New Zealand &amp; Ireland to provide the best quality milk powder to the consumers. Fresh Full Cream Milk Powder is a household name and the preferred choice of consumers for their everyday nutrition. It helps to improve the intelligence of children as it contains choline, iodine, and omega 3 &amp; 6. It comes packed with protein, calcium, and iron which helps build strength and ensures better functioning of the immune system.&nbsp;</span></p>
<p><span style=""color: #1b1b28; font-family: Lato, sans-serif; font-size: 13px;"">The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe, and easy online shopping experience through kholabazaar.</span></p>","in stock",new,"350.00 BDT",http://127.0.0.1:8003/product/fresh-chocolate-milk-powder-400-gm,http://127.0.0.1:8000/media/6315be97306ce.png,unknown
32,"Fresh Vanilla Milk Powder - 400gm","<p><span style=""font-family: roboto;"">Vanilla Milk Powder is ideal for making Vanilla Milkshakes, Ice Creams, Mousses, Cakes, Brownies, and Chocolate Cream Icing.</span></p>
<p><span style=""color: #1b1b28; font-family: Lato, sans-serif; font-size: 13px;"">The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe, and easy online shopping experience through kholabazaar.</span></p>","out of stock",new,"350.00 BDT",http://127.0.0.1:8003/product/fresh-vanilla-milk-powder-400gm,http://127.0.0.1:8000/media/6315c17fbd4cb.png,unknown
33,"No.1 Sweetened Condensed Milk - 400 gm","<p>300 million cups of tea every month are made with &ldquo;No.1 Sweetened Condensed Filled Milk&rdquo; which has won the hearts of millions of consumers.&nbsp;</p>
<p>After fulfilling local demand, &ldquo;No.1 Sweetened Condensed Filled Milk&rdquo; is now exported beyond borders. Established in 2011, &ldquo;No.1 Sweetened Condensed Filled Milk&rdquo; has got&nbsp;</p>
<p>one of the largest condensed milk factories in Bangladesh with the ultra-modern hi-tech and automatic process by maintaining ISO 9001:2015 in Quality Management Systems and ISO 22000:2005&nbsp;</p>
<p>in Food Safety Management Systems.</p>
<p><span style=""color: #1b1b28; font-family: Lato, sans-serif; font-size: 13px;"">The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe, and easy online shopping experience through kholabazaar.</span></p>","in stock",new,"80.00 BDT",http://127.0.0.1:8003/product/no1-sweetened-condensed-milk-400-gm,http://127.0.0.1:8000/media/6315c8856702f.png,unknown
34,"Fresh Whole Wheat Atta - 2 Kg","<p><span style=""color: #777777; font-family: Custom-fonts-kabir, helvetica, arial, sans-serif;""><span style=""font-size: 14.5px;"">Fresh atta, maida, and suji inspire healthy eating. The brand carefully selects the best quality wheat for &ldquo;Fresh Atta&rdquo;, &ldquo;Fresh Maida&rdquo; &amp; &ldquo;Fresh Suji&rdquo;.&nbsp;</span></span></p>
<p><span style=""color: #777777; font-family: Custom-fonts-kabir, helvetica, arial, sans-serif;""><span style=""font-size: 14.5px;"">It uses a state-of-the-art multi-step cleaning process and computerized Buhler milling technology to keep nutritional goodness intact.</span></span></p>
<p><span style=""color: #777777; font-family: Custom-fonts-kabir, helvetica, arial, sans-serif;""><span style=""font-size: 14.5px;"">The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;</span></span><span style=""color: #777777; font-family: Custom-fonts-kabir, helvetica, arial, sans-serif;""><span style=""font-size: 14.5px;"">and easy online shopping experience through kholabazaar.</span></span></p>","in stock",new,"138.00 BDT",http://127.0.0.1:8003/product/fresh-whole-wheat-atta-2-kg,http://127.0.0.1:8000/media/6315cbbc9546d.png,unknown
38,"Fresh Maida - 2 Kg","<ul>
<li>Benefits of eating wheat flour:</li>
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">After rice, the favorite food of Bengalis is bread.</li>
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">Bread is rich in many nutrients as it is a sugary food.</li>
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">But of course, it depends on whether you are eating white flour bread or red flour bread.</li>
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">Flour is mainly obtained from wheat.</li>
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">Red flour is made by grinding wheat husk which is called un-refined flour.</li>
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">The flour is made by peeling the top of the wheat.</li>
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">Which can be called refined flour.</li>
</ul>
<p>The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;and easy online shopping experience through kholabazaar.</p>","in stock",new,"148.00 BDT",http://127.0.0.1:8003/product/fresh-maida-20-kg,http://127.0.0.1:8000/media/6315d36b4a5f7.png,unknown
39,"Fresh Maida - 1 Kg","<ul style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; padding: 0px; margin: 0px 0px 0px 24px; list-style-position: initial; list-style-image: initial; font-family: Roboto, sans-serif; font-size: 13px; letter-spacing: 0.007px;"">
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">Benefits of eating wheat flour:</li>
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">After rice, the most favorite food of Bengalis is bread.</li>
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">Bread is rich in many nutrients as it is a sugary food.</li>
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">But of course, it depends on whether you are eating white flour bread or red flour bread.</li>
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">Flour is mainly obtained from wheat.</li>
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">Red flour is made by grinding wheat husk which is called un-refined flour.</li>
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">The flour is made by peeling the top of the wheat.</li>
<li style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0); box-sizing: border-box; margin: 0px; padding: 2px 0px; list-style-position: initial; list-style-image: initial; list-style-type: inherit; color: #484848 !important;"">Which can be called refined flour.</li>
</ul>
<p>The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;and easy online shopping experience through kholabazaar.</p>","in stock",new,"75.00 BDT",http://127.0.0.1:8003/product/fresh-maida-1-kg,http://127.0.0.1:8000/media/6315d92f82bed.png,unknown
